Id,ReviewText,Rating
1,"Amazing product, battery lasts long and camera quality is superb!",5
2,Worst phone ever. Battery drains in 2 hours.,1
3,"It's okay, not too good not too bad.",3
4,"Excellent headphones, sound quality is crystal clear.",5
5,"Terrible packaging, product arrived damaged.",2
6,Good value for money. Totally worth it!,4
7,"The laptop overheats quickly, very disappointing.",2
8,"Fast delivery, product exactly as described.",5
9,"Mediocre quality, I expected better.",3
10,Absolutely love it! Highly recommend.,5
